1,AAC,American Athletic Conference,FBS
2,ACC,Atlantic Coast Conference,FBS
3,Big 12,Big 12 Conference,FBS
4,Big 10,Big 10 Conference,FBS
5,C-USA,Conference USA,FBS
6,IND,Independents,FBS
7,MAC,Mid-American Conference,FBS
8,MW,Mountain West Conference,FBS
9,Pac 12,Pacific 12 Conference,FBS
10,SEC,Southeastern Conference,FBS
11,Sun,Sun Belt Conference,FBS
12,Atlantic10,Atlantic 10 Conference,FCS
13,Big Sky,Big Sky Conference,FCS
14,Big South,Big South Conference,FCS
15,CAA,Colonial Athletic Association,FCS
16,Great West,Great West Conference,FCS
17,IND-FCS,Independents,FCS
18,Ivy,Ivy League Conference,FCS
19,MAAC,Metro Atlantic Athletic Conference,FCS
20,MEAC,Mid Eastern Athletic Conference,FCS
21,Missouri Valley,Missouri Valley Conference,FCS
22,Northeast,Northeast Conference,FCS
23,Ohio Valley,Ohio Valley Conference,FCS
24,Patriot,Patriot League Conference,FCS
25,Pioneer,Pioneer Conference,FCS
26,Southern,Southern Conference,FCS
27,Southland,Southland Conference,FCS
28,SWAC,Southwestern Athletic Conference,FCS
